17:05:40 [INFO] Found netvar: m_iFOVStart => 0x31E8
17:05:40 [INFO] Found netvar: m_iFOV => 0x31E4
17:05:40 [INFO] Found netvar: m_iGlowIndex => 0xA410
17:05:40 [INFO] Found netvar: m_iHealth => 0x100
17:05:40 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
17:05:40 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
17:05:40 [INFO] Found netvar: m_iObserverMode => 0x3378
17:05:40 [INFO] Found netvar: m_iShotsFired => 0xA380
17:05:40 [INFO] Found netvar: m_iState => 0x3258
17:05:40 [INFO] Found netvar: m_iTeamNum => 0xF4
17:05:40 [INFO] Found netvar: m_lifeState => 0x25F
17:05:40 [INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
17:05:40 [INFO] Found netvar: m_nFallbackSeed => 0x31CC
17:05:40 [INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
17:05:40 [INFO] Found netvar: m_nForceBone => 0x268C
17:05:40 [INFO] Found netvar: m_nTickBase => 0x3430
17:05:40 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
17:05:40 [INFO] Found netvar: m_szCustomName => 0x303C
17:05:40 [INFO] Found netvar: m_szLastPlaceName => 0x35B4
17:05:40 [INFO] Found netvar: m_vecOrigin => 0x138
17:05:40 [INFO] Found netvar: m_vecVelocity => 0x114
17:05:40 [INFO] Found netvar: m_vecViewOffset => 0x108
17:05:40 [INFO] Found netvar: m_viewPunchAngle => 0x3020
17:05:40 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
17:05:40 [INFO] Found netvar: m_clrRender => 0x70
17:05:40 [INFO] Found netvar: m_flC4Blow => 0x2990
17:05:40 [INFO] Found netvar: m_flTimerLength => 0x2994
17:05:40 [INFO] Found netvar: m_flDefuseLength => 0x29A8
17:05:40 [INFO] Found netvar: m_flDefuseCountDown => 0x29AC
17:05:40 [INFO] Found netvar: cs_gamerules_data => 0x0
17:05:40 [INFO] Found netvar: m_SurvivalRules => 0xCF8
17:05:40 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1320
17:05:40 [INFO] Found netvar: m_bIsValveDS => 0x75
17:05:40 [INFO] Found netvar: m_bFreezePeriod => 0x20
17:05:40 [INFO] Found netvar: m_bBombPlanted => 0x99D
17:05:40 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
17:05:40 [INFO] Found netvar: m_flSimulationTime => 0x268
17:05:40 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x3A7C
17:05:40 [INFO] Found netvar: m_angEyeAnglesX => 0xB36C
17:05:40 [INFO] Found netvar: m_angEyeAnglesY => 0xB370
17:05:40 [INFO] Found netvar: m_flNextAttack => 0x2D70
17:05:40 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
17:05:40 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28BC
17:05:40 [INFO] Found netvar: m_bStartedArming => 0x33F0
17:05:40 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
17:05:40 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
17:05:40 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
17:05:40 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
17:05:40 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
17:05:40 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
17:05:40 [INFO] Finished netvar scanning: 85/85 items successful
